userName,score,at,content
Feliska Ditta,1,2023-09-26 00:45:07,"belum lama di daftar aplikasi nya malah logout sendiri,deposit dana juga lama pending kadang sampai ga masuk dana tapi saldo terpotong! tolong admin di perbaiki lagi.jangan sampai merugikan orang lain!.keling kumang terkenal jangan sampai buat malu organisasi hanya gara gara aplikasi ini"
Markus Yubing,5,2023-05-17 08:54:50,Sanggat membantu
Timo imo,2,2023-04-14 19:44:13,"Ini aplikasi Digital nya rusak barangkali , suka error, login ke rekening pun harus pake sms, sampe habis pulsa 20 ribu buat login tapi ngak masukÂ²"
Herkulanus Rinto,5,2023-04-06 10:54:14,Sangat membantu
Markus Paimin,5,2023-04-05 17:26:10,Keren
Markus Pamungkas12,1,2023-02-24 15:42:19,"Tolong diperbaiki lagi aplikasi nya lemot amat, mau penarikan diatm Sampai nunggu berjqm2, padahal jaringan bagus, udah ndk kayak dulu.."
Mongkal Modang,1,2023-02-18 21:14:32,Ni aplikasi makin hari makin susah di servernya mau jaringan sekencang apalagi biar mudah bukanya..
Celini Wati,5,2023-02-08 11:25:55,Mempermudah transaksi
Frans Daniel,5,2022-12-09 09:05:31,Bagus
GUMI TILA,5,2022-12-07 12:08:49,Susah gak bisa login
Eddi Batuah,5,2022-09-30 15:20:19,Kehadiran KKD sangat membantu. Bayank layanan keuangan digital dapat teratasi dengan kehadiran KKD ini. Terima kasih KSP CU Keling Kumang
ARIANTO YANURDI,1,2022-09-02 16:59:51,"Aplikasi bangke padahal sudah di aktivitasi akun cuma gara2 ganti no ba doang ,jadi gak bisa login lg.."
Tono Suhartono,4,2022-07-15 15:55:02,Baik
Lusi Ayang,5,2022-07-13 15:59:53,"Apikasinya sangat membantu,dan mendukung dalam transaksi,keamanan keuangan."
Marubahot Panggabean,4,2022-06-28 14:13:17,Kadang lelet
Sujametorius Nyantau,5,2022-06-19 17:20:40,Baru baru ini sampai sekarang mobile banking Keling kumang saya tidak bisa buka lagi.mohon perbaikan ia admin..
Dahsyat Ponsel,2,2022-06-12 20:19:25,Gak bisa masuk ke apk nya. Mohon panduan nya.
Ayub Sardi,1,2022-05-24 17:50:44,Kok pas mau beli Kouta Indosat ngak mau ya ?
Novi Aprilianty,1,2022-05-24 09:57:44,Udah di update gak bisa didaftar lagi....
Anjas Pratama,5,2022-05-08 19:48:53,Mantap
Supri Yanto,3,2022-05-06 12:34:12,Saya mau nanya cara masukan kode LKM nya gimana ya??
Leuten family,5,2022-04-27 11:38:51,"sangat membantu,sukses selalu buat KSP CUKK"
CupUh CupUh,2,2022-04-19 17:57:45,Apa itu kode LKM?
Ahmad Khoirul,5,2022-04-12 23:05:17,"Alhamdulillah dengan adanya aplikasi mobile ini, usaha saya semakin tambah maju dan berkembang, mudah - midahan CUKK makin sukses selalu. Aamiin"
Wini Arsita,5,2022-04-07 18:17:50,Aktifsi aplksi sudah berhasilğŸ¤—ğŸ¤—ğŸ¤—
amin liauw,1,2022-04-07 16:36:16,meresahkan error GPSÂ²an
Okta pianus,1,2022-04-05 11:41:52,"Punya saya semalam transaksi shopee pay 2 kali dengan nominal 200rbu/transaksi. Yg prtama masuk saldo shopee pay nya. Yg kedua ndak masuk,dan sampai sekarang saldo saya di Keling kumang digital ini masih terpotong. Heran sekarang,dulu kalau ndak masuk saldo di kembaliin.tapi ini sampai sekarang saldo saya masih terpotong 200rbu padahal saldo shopee pay nya ndak masuk. Tolong dong jlasin.kalau gini habis ndak nentu uang kalau setiap transaksi kek gini trus."
Sonia123 Asdi000,5,2022-04-04 19:44:45,Sangat bagus
Putri Harahap,1,2022-04-02 09:52:58,"Enggak ngerti caranya tiba"" d suruh kode lkm"
Usman Uju,5,2022-03-29 11:05:37,Mantaaap
Ratna Ratna,5,2022-03-24 12:18:37,Sangat membantu
yanto skpi,1,2022-03-24 07:33:28,Gk bisa di pake udahan
Jaya Ponsel,5,2022-03-23 14:07:29,Sangat membantu
Junar Niyanto,5,2022-03-21 11:33:21,Sudiantos
Rony Oppo,5,2022-03-20 23:07:44,Aplikasinya sangat membatu
Mitra Belajar,5,2022-03-20 09:39:44,Udah bisa ga??
